VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2.0,2019-10-01 00:26:02,2019-10-01 00:39:58,N,1.0,112,196,1.0,5.88,18.0,0.5,0.5,0.0,0.0,,0.3,19.3,2.0,1.0,0.0
1.0,2019-10-01 00:18:11,2019-10-01 00:22:38,N,1.0,43,263,1.0,0.8,5.0,3.25,0.5,0.0,0.0,,0.3,9.05,2.0,1.0,0.0
1.0,2019-10-01 00:09:31,2019-10-01 00:24:47,N,1.0,255,228,2.0,7.5,21.5,0.5,0.5,0.0,0.0,,0.3,22.8,2.0,1.0,0.0
1.0,2019-10-01 00:37:40,2019-10-01 00:41:49,N,1.0,181,181,1.0,0.9,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
2.0,2019-10-01 00:08:13,2019-10-01 00:17:56,N,1.0,97,188,1.0,2.52,10.0,0.5,0.5,2.26,0.0,,0.3,13.56,1.0,1.0,0.0
2.0,2019-10-01 00:35:01,2019-10-01 00:43:40,N,1.0,65,49,1.0,1.47,8.0,0.5,0.5,1.86,0.0,,0.3,11.16,1.0,1.0,0.0
1.0,2019-10-01 00:28:09,2019-10-01 00:30:49,N,1.0,7,179,1.0,0.6,4.0,0.5,0.5,1.0,0.0,,0.3,6.3,1.0,1.0,0.0
2.0,2019-10-01 00:28:26,2019-10-01 00:32:01,N,1.0,41,74,1.0,0.56,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0
2.0,2019-10-01 00:14:01,2019-10-01 00:26:16,N,1.0,255,49,1.0,2.42,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2.0,1.0,0.0
1.0,2019-10-01 00:03:03,2019-10-01 00:17:13,Y,1.0,130,131,1.0,3.4,13.0,0.5,0.5,2.85,0.0,,0.3,17.15,1.0,1.0,0.0
2.0,2019-10-01 00:07:10,2019-10-01 00:23:38,N,1.0,24,74,3.0,3.18,13.5,0.5,0.5,0.0,0.0,,0.3,14.8,2.0,1.0,0.0
1.0,2019-10-01 00:25:48,2019-10-01 00:49:52,N,1.0,255,188,1.0,4.7,18.0,0.5,0.5,1.0,0.0,,0.3,20.3,1.0,1.0,0.0
1.0,2019-10-01 00:03:12,2019-10-01 00:14:43,N,1.0,129,160,1.0,3.1,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2.0,1.0,0.0
2.0,2019-10-01 00:44:56,2019-10-01 00:51:06,N,5.0,18,169,1.0,1.19,10.0,0.0,0.0,0.25,0.0,,0.0,10.25,1.0,2.0,0.0
2.0,2019-10-01 00:55:14,2019-10-01 01:00:49,N,1.0,223,7,1.0,1.09,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1.0,1.0,0.0
2.0,2019-10-01 00:06:06,2019-10-01 00:11:05,N,1.0,75,262,1.0,1.24,6.0,0.5,0.5,2.01,0.0,,0.3,12.06,1.0,1.0,2.75
2.0,2019-10-01 00:00:19,2019-10-01 00:14:32,N,1.0,97,228,1.0,3.03,13.0,0.5,0.5,3.58,0.0,,0.3,17.88,1.0,1.0,0.0
2.0,2019-10-01 00:09:31,2019-10-01 00:20:41,N,1.0,41,74,1.0,2.03,9.5,0.5,0.5,2.16,0.0,,0.3,12.96,1.0,1.0,0.0
2.0,2019-10-01 00:30:36,2019-10-01 00:34:30,N,1.0,41,42,1.0,0.73,5.0,0.5,0.5,1.26,0.0,,0.3,7.56,1.0,1.0,0.0
2.0,2019-10-01 00:58:32,2019-10-01 01:05:08,N,1.0,41,116,1.0,1.48,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2.0,1.0,0.0
2.0,2019-10-01 00:11:58,2019-10-01 00:16:21,N,1.0,134,134,2.0,0.89,5.5,0.5,0.5,1.36,0.0,,0.3,8.16,1.0,1.0,0.0
2.0,2019-10-01 00:42:27,2019-10-01 01:04:30,N,1.0,260,92,1.0,4.21,16.5,0.5,0.5,0.0,0.0,,0.3,17.8,2.0,1.0,0.0
2.0,2019-10-01 00:03:38,2019-10-01 00:12:43,N,1.0,83,56,1.0,1.64,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
2.0,2019-10-01 00:12:30,2019-10-01 00:27:16,N,1.0,181,89,1.0,3.6,13.5,0.5,0.5,0.74,0.0,,0.3,15.54,1.0,1.0,0.0
2.0,2019-10-01 00:44:27,2019-10-01 00:54:27,N,1.0,181,188,1.0,2.44,10.0,0.5,0.5,0.0,0.0,,0.3,11.3,2.0,1.0,0.0
2.0,2019-10-01 00:04:40,2019-10-01 00:10:02,N,1.0,226,226,1.0,1.58,6.5,0.5,0.5,1.56,0.0,,0.3,9.36,1.0,1.0,0.0
2.0,2019-10-01 00:22:41,2019-10-01 00:31:53,N,1.0,33,80,1.0,4.46,14.5,0.5,0.5,0.0,0.0,,0.3,15.8,2.0,1.0,0.0
2.0,2019-10-01 00:38:00,2019-10-01 00:45:50,N,1.0,256,37,1.0,1.81,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
2.0,2019-10-01 00:54:35,2019-10-01 01:01:39,N,1.0,80,148,1.0,2.33,9.0,0.5,0.5,1.96,0.0,,0.3,15.01,1.0,1.0,2.75
2.0,2019-10-01 00:55:48,2019-10-01 01:00:45,N,1.0,223,7,5.0,0.82,5.5,0.5,0.5,1.36,0.0,,0.3,8.16,1.0,1.0,0.0
2.0,2019-10-01 00:52:36,2019-10-01 00:52:42,N,5.0,92,92,1.0,0.0,15.0,0.0,0.0,0.0,0.0,,0.0,15.0,2.0,2.0,0.0
2.0,2019-10-01 00:20:56,2019-10-01 00:27:52,N,1.0,129,83,1.0,1.49,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0
2.0,2019-10-01 00:37:54,2019-10-01 00:50:51,N,1.0,130,205,1.0,3.6,13.0,0.5,0.5,0.0,0.0,,0.3,14.3,2.0,1.0,0.0
